"","Var1","Freq"
"264","2015-04-27",7855
"265","2015-04-28",3019
"266","2015-04-29",5094
"267","2015-04-30",5474
"268","2015-05-01",1283
"269","2015-05-02",4279
"270","2015-05-03",7345
"271","2015-05-04",5902
"272","2015-05-05",2224
"273","2015-05-06",3072
"274","2015-05-07",1028
"275","2015-05-08",305
"276","2015-05-09",2747
"277","2015-05-10",13
"278","2015-05-11",7
"279","2015-05-12",137
"280","2015-05-13",3645
"281","2015-05-14",11077
"282","2015-05-15",1853
"283","2015-05-16",11660
"284","2015-05-17",16050
"285","2015-05-18",4828
"286","2015-05-19",2002
"287","2015-05-20",6876
"288","2015-05-21",724
"289","2015-05-22",7
"290","2015-05-23",3
"291","2015-05-24",1493
"292","2015-05-25",47
"293","2015-05-26",4269
"294","2015-05-27",504
"295","2015-05-28",376
"296","2015-05-29",13
"297","2015-05-30",17
"298","2015-06-01",2821
"299","2015-06-02",67
"300","2015-06-03",1839
"301","2015-06-04",2307
"302","2015-06-06",170
"303","2015-06-08",117
"304","2015-06-09",239
"305","2015-06-11",2200
"306","2015-06-12",9
"307","2015-06-13",825
"308","2015-06-15",1
"309","2015-06-18",363
"310","2015-06-19",1376
"311","2015-06-20",25
"312","2015-06-21",50
"313","2015-06-22",1926
"314","2015-06-23",37
"315","2015-06-25",62
"316","2015-06-26",352
"317","2015-06-27",1
"318","2015-06-28",4
"319","2015-06-29",844
"320","2015-06-30",204
"321","2015-07-02",2
"322","2015-07-05",38
"323","2015-07-06",128
"324","2015-07-08",999
"325","2015-07-09",1404
"326","2015-07-10",806
"327","2015-07-11",543
"328","2015-07-13",115
"329","2015-07-14",108
"330","2015-07-15",5
"331","2015-07-16",1
"332","2015-07-21",6
"333","2015-07-22",131
"334","2015-07-23",152
"335","2015-07-28",192
"336","2015-08-01",1
"337","2015-08-02",165
"338","2015-08-03",163
"339","2015-08-04",90
"340","2015-08-05",176
"341","2015-08-06",1579
"342","2015-08-07",187
"343","2015-08-08",13
"344","2015-08-09",1
"345","2015-08-12",2
"346","2015-08-13",1
"347","2015-08-16",93
"348","2015-08-17",1
"349","2015-08-18",13
"350","2015-08-20",67
"351","2015-08-23",2
"352","2015-08-24",2
"353","2015-08-26",1
"354","2015-08-28",3
"355","2015-08-31",22
"356","2015-09-02",16
"357","2015-09-05",555
"358","2015-09-08",251
"359","2015-09-11",194
"360","2015-09-12",42
"361","2015-09-13",108
"362","2015-09-15",86
"363","2015-09-22",154
"364","2015-09-24",1
"365","2015-09-26",1
"366","2015-09-29",1
"367","2015-10-07",36
"368","2015-10-11",1
"369","2015-10-13",2
"370","2015-10-16",3
"371","2015-10-17",5
"372","2015-10-20",6
"373","2015-10-25",730
"374","2015-10-26",26
"375","2015-10-30",2
"376","2015-11-02",4
"377","2015-11-06",528
"378","2015-11-09",989
"379","2015-11-10",121
"380","2015-11-12",423
"381","2015-11-17",289
"382","2015-11-18",12
"383","2015-11-19",240
"384","2015-11-20",1238
"385","2015-11-22",16
"386","2015-11-23",15
"387","2015-11-25",29
"388","2015-12-01",10
"389","2015-12-02",1436
"390","2015-12-03",808
"391","2015-12-04",135
"392","2015-12-05",1
"393","2015-12-07",1565
"394","2015-12-14",3
"395","2015-12-16",3
"396","2015-12-20",95
"397","2015-12-22",142
"398","2015-12-26",207
"399","2015-12-27",298
"400","2015-12-28",100
"401","2016-01-01",21
"402","2016-01-03",113
"403","2016-01-04",18
"404","2016-01-05",2
"405","2016-01-06",1
"406","2016-01-07",41
"407","2016-01-10",514
"408","2016-01-11",502
"409","2016-01-13",1
"410","2016-01-15",4
"411","2016-01-20",54
"412","2016-01-21",69
"413","2016-01-23",1
"414","2016-01-31",1
"415","2016-02-01",1
"416","2016-02-07",779
"417","2016-02-09",176
"418","2016-02-10",307
"419","2016-02-13",1
"420","2016-02-14",23
"421","2016-02-15",474
"422","2016-02-16",252
"423","2016-02-17",168
"424","2016-02-18",393
"425","2016-02-19",1844
"426","2016-02-20",39
"427","2016-02-21",42
"428","2016-02-22",411
"429","2016-02-23",1694
"430","2016-02-24",1376
"431","2016-02-25",676
"432","2016-02-26",496
"433","2016-02-28",284
"434","2016-02-29",265
"435","2016-03-01",98
"436","2016-03-04",64
"437","2016-03-05",24
"438","2016-03-08",5
"439","2016-03-09",181
"440","2016-03-10",3
"441","2016-03-11",12
"442","2016-03-12",10
"443","2016-03-14",3
"444","2016-03-15",319
"445","2016-03-16",366
"446","2016-03-17",14
"447","2016-03-18",22
"448","2016-03-19",20
"449","2016-03-20",683
"450","2016-03-21",551
"451","2016-03-22",29
"452","2016-03-23",42
"453","2016-03-24",432
"454","2016-03-25",69
"455","2016-03-26",1
"456","2016-03-27",2
"457","2016-03-28",24
"458","2016-03-29",38
"459","2016-03-30",1269
"460","2016-03-31",6333
"461","2016-04-01",8277
"462","2016-04-02",470
"463","2016-04-03",383
"464","2016-04-04",6534
"465","2016-04-05",6728
"466","2016-04-06",9770
"467","2016-04-07",8746
"468","2016-04-08",7002
"469","2016-04-09",2937
"470","2016-04-10",535
"471","2016-04-11",385
"472","2016-04-12",786
"473","2016-04-13",5
"474","2016-04-14",746
"475","2016-04-15",1042
"476","2016-04-16",1217
"477","2016-04-17",3196
"478","2016-04-18",189
"479","2016-04-19",694
"480","2016-04-20",447
"481","2016-04-21",593
"482","2016-04-22",1061
"483","2016-04-23",10
"484","2016-04-24",224
"485","2016-04-25",325
"486","2016-04-26",4877
"487","2016-04-27",808
"488","2016-04-28",4633
"489","2016-04-29",7443
"490","2016-05-01",10887
"491","2016-05-02",8362
"492","2016-05-03",6090
"493","2016-05-04",1439
"494","2016-05-05",5567
"495","2016-05-06",1653
"496","2016-05-07",55
"497","2016-05-08",948
"498","2016-05-09",3481
"499","2016-05-10",9373
"500","2016-05-11",9663
"501","2016-05-12",12254
"502","2016-05-13",16288
"503","2016-05-14",6085
"504","2016-05-15",2521
"505","2016-05-16",6735
"506","2016-05-17",4815
"507","2016-05-18",15991
"508","2016-05-19",7536
"509","2016-05-20",10829
"510","2016-05-21",1466
"511","2016-05-22",3145
"512","2016-05-23",11333
"513","2016-05-24",15834
"514","2016-05-25",9673
"515","2016-05-26",11442
"516","2016-05-27",12669
"517","2016-05-28",3332
"518","2016-05-29",5451
"519","2016-05-30",6251
"520","2016-05-31",15093
"521","2016-06-01",16224
"522","2016-06-02",10485
"523","2016-06-03",23108
"524","2016-06-04",1757
"525","2016-06-05",9871
"526","2016-06-06",21104
"527","2016-06-07",14775
"528","2016-06-08",12593
"529","2016-06-09",1065
"530","2016-06-10",13415
