"","id","lon","lat","version","timestamp","changeset","uid","user","highway","amenity","building","name","Date"
"2626",3486934735,84.000577,28.150986,2,2016-05-12 11:30:28,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2627",3486934736,84.0005737,28.1511062,2,2016-05-12 11:30:28,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2628",3486934738,84.0005889,28.1511971,2,2016-05-12 11:30:28,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2629",3486934739,83.9970893,28.1512769,2,2016-05-12 11:30:28,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2630",3486934740,83.9969891,28.1512902,2,2016-05-12 11:30:28,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2631",3486934741,84.0005642,28.1512479,2,2016-05-12 11:30:28,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2632",3486934742,83.9972156,28.1513437,2,2016-05-12 11:30:28,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2633",3486934743,83.996898,28.1513205,2,2016-05-12 11:30:29,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2634",3486934748,84.000231,28.1514225,2,2016-05-12 11:30:29,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2635",3486934749,83.9973406,28.1514617,2,2016-05-12 11:30:29,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2636",3486934750,84.0003951,28.1514354,2,2016-05-12 11:30:29,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2637",3486934751,84.0001224,28.1514515,2,2016-05-12 11:30:29,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2638",3486934752,84.0000599,28.1514668,2,2016-05-12 11:30:29,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2639",3486934754,83.9999361,28.1515036,2,2016-05-12 11:30:29,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2640",3486934755,83.9973906,28.1515491,2,2016-05-12 11:30:29,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2641",3486934757,83.9997519,28.1515915,2,2016-05-12 11:30:29,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2642",3486934759,83.9974082,28.1516446,2,2016-05-12 11:30:30,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2643",3486934761,83.9974187,28.1516836,2,2016-05-12 11:30:30,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2644",3486934767,84.0006319,28.1519813,2,2016-05-12 11:30:30,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2645",3486934779,84.0008287,28.1520036,2,2016-05-12 11:30:30,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2646",3486934788,83.9994514,28.15224,2,2016-05-12 11:30:30,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2647",3486934950,83.995695,28.1524038,2,2016-05-12 11:30:30,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2648",3486934959,83.9956427,28.1524844,2,2016-05-12 11:30:30,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2649",3486934966,83.9955073,28.1525846,2,2016-05-12 11:30:30,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2650",3486934969,83.9954731,28.1526508,2,2016-05-12 11:30:30,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2651",3486934979,83.9954902,28.1527308,2,2016-05-12 11:30:31,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2652",3486934980,83.9954807,28.152805,2,2016-05-12 11:30:31,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2653",3486934983,83.9947791,28.1528959,2,2016-05-12 11:30:31,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2654",3486934984,83.9946832,28.1528965,2,2016-05-12 11:30:31,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2655",3486934985,83.9943967,28.1529133,2,2016-05-12 11:30:31,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2656",3486934987,83.9943034,28.1529359,2,2016-05-12 11:30:31,39264644,3573216,"Bishal9841","","","","",2016-05-12
"2657",3486934988,83.9954292,28.1529107,2,2016-05-12 11:30:31,39264644,3573216,"Bishal9841","","","","",2016-05-12
