"","Var1","Freq"
"1","",193936
"2","bus_stop",3
"4","cycleway",1
"6","footway",40
"8","living_street",36
"10","path",74
"11","pedestrian",12
"12","primary",2
"13","primary_link",1
"14","residential",544
"16","secondary",6
"18","service",29
"20","steps",7
"21","tertiary",31
"22","tertiary_link",10
"23","track",85
"25","turning_circle",1
"26","unclassified",59
