"","Var1","Freq"
"1","",157911
"4","college",1
"5","commercial",2
"8","dining hall",1
"9","farm",4
"16","hotel",1
"17","house",131
"25","pratichhya",1
"27","residential",257
"29","school",3
"30","service",1
"31","shed",1
"33","yes",31747
