"","Var1","Freq"
"264","2015-04-28",2980
"265","2015-04-29",4469
"266","2015-04-30",5185
"267","2015-05-01",1231
"268","2015-05-02",4095
"269","2015-05-03",7325
"270","2015-05-04",5791
"271","2015-05-05",1673
"272","2015-05-06",2909
"273","2015-05-07",851
"274","2015-05-08",273
"275","2015-05-09",2745
"276","2015-05-10",13
"277","2015-05-11",7
"278","2015-05-12",137
"279","2015-05-13",3563
"280","2015-05-14",11060
"281","2015-05-15",1853
"282","2015-05-16",11660
"283","2015-05-17",14767
"284","2015-05-18",4622
"285","2015-05-19",1871
"286","2015-05-20",6647
"287","2015-05-21",714
"288","2015-05-22",7
"289","2015-05-23",3
"290","2015-05-24",1492
"291","2015-05-25",47
"292","2015-05-26",4269
"293","2015-05-27",504
"294","2015-05-28",376
"295","2015-05-29",13
"296","2015-05-30",17
"297","2015-06-01",2821
"298","2015-06-02",67
"299","2015-06-03",1833
"300","2015-06-04",2291
"301","2015-06-06",170
"302","2015-06-08",116
"303","2015-06-09",239
"304","2015-06-11",2200
"305","2015-06-12",9
"306","2015-06-13",825
"307","2015-06-15",1
"308","2015-06-18",363
"309","2015-06-19",1376
"310","2015-06-20",25
"311","2015-06-21",50
"312","2015-06-22",1926
"313","2015-06-23",37
"314","2015-06-25",62
"315","2015-06-26",352
"316","2015-06-27",1
"317","2015-06-28",4
"318","2015-06-29",844
"319","2015-06-30",204
"320","2015-07-02",2
"321","2015-07-05",38
"322","2015-07-06",128
"323","2015-07-08",990
"324","2015-07-09",1404
"325","2015-07-10",805
"326","2015-07-11",543
"327","2015-07-13",115
"328","2015-07-14",108
"329","2015-07-15",5
"330","2015-07-16",1
"331","2015-07-21",6
"332","2015-07-22",131
"333","2015-07-23",113
"334","2015-07-28",191
"335","2015-08-01",1
"336","2015-08-02",165
"337","2015-08-03",157
"338","2015-08-04",49
"339","2015-08-05",169
"340","2015-08-06",1555
"341","2015-08-07",181
"342","2015-08-08",13
"343","2015-08-09",1
"344","2015-08-13",1
"345","2015-08-16",91
"346","2015-08-17",1
"347","2015-08-18",12
"348","2015-08-20",65
"349","2015-08-23",2
"350","2015-08-24",2
"351","2015-08-28",3
"352","2015-08-31",22
"353","2015-09-02",15
"354","2015-09-05",503
"355","2015-09-08",242
"356","2015-09-11",193
"357","2015-09-12",42
